step_idx,avg_winning,avg_diff,loss_train,avg_score
430000,0.478,0.017,0.0,0.50558
431000,0.489,0.014,0.0,0.51765
432000,0.494,0.018,0.0,0.52305
433000,0.482,0.019,0.0,0.51085
434000,0.49,0.01,0.0,0.51938
435000,0.481,0.016,0.0,0.50977
436000,0.479,0.014,0.0,0.5086
437000,0.486,0.01,0.0,0.51569
438000,0.49,0.012,0.0,0.52044
439000,0.496,0.013,0.0,0.52722
440000,0.487,0.012,0.0,0.51887
441000,0.487,0.016,0.0,0.51854
442000,0.472,0.015,0.0,0.50198
443000,0.471,0.006,0.0,0.50042
444000,0.479,0.013,0.0,0.50854
445000,0.489,0.016,0.0,0.51884
446000,0.495,0.011,0.0,0.52535
447000,0.495,0.012,0.0,0.52475
448000,0.49,0.011,0.0,0.52015
449000,0.487,0.012,0.0,0.51818
450000,0.479,0.01,0.0,0.50875
451000,0.481,0.016,0.0,0.51079
452000,0.469,0.01,0.0,0.49899
453000,0.488,0.011,0.0,0.51825
454000,0.482,0.015,0.0,0.5125
455000,0.482,0.02,0.0,0.51238
456000,0.482,0.02,0.0,0.51103
457000,0.466,0.022,0.0,0.49512
458000,0.488,0.018,0.0,0.5154
459000,0.478,0.018,0.0,0.50617
460000,0.489,0.01,0.0,0.51713
461000,0.472,0.022,0.0,0.50066
462000,0.484,0.013,0.0,0.51262
463000,0.486,0.011,0.0,0.514
464000,0.473,0.013,0.0,0.50087
465000,0.461,0.014,0.0,0.48901
466000,0.476,0.017,0.0,0.50384
467000,0.481,0.016,0.0,0.50971
468000,0.485,0.007,0.0,0.51444
469000,0.471,0.015,0.0,0.50078
470000,0.48,0.012,0.0,0.51025
471000,0.486,0.012,0.0,0.51678
472000,0.499,0.005,0.0,0.52922
473000,0.491,0.013,0.0,0.52192
474000,0.487,0.013,0.0,0.51772
475000,0.492,0.015,0.0,0.52279
476000,0.491,0.016,0.0,0.5214
477000,0.488,0.015,0.0,0.51785
478000,0.475,0.008,0.0,0.50486
479000,0.469,0.011,0.0,0.49734
480000,0.471,0.018,0.0,0.49957
481000,0.486,0.018,0.0,0.5147
482000,0.463,0.018,0.0,0.49174
483000,0.475,0.02,0.0,0.50306
484000,0.487,0.02,0.0,0.51515
485000,0.477,0.02,0.0,0.50549
486000,0.484,0.015,0.0,0.51392
487000,0.472,0.02,0.0,0.5001
488000,0.456,0.018,0.0,0.48407
489000,0.482,0.017,0.0,0.51106
490000,0.478,0.016,0.0,0.50728
491000,0.491,0.014,0.0,0.5209
492000,0.489,0.02,0.0,0.51941
493000,0.491,0.012,0.0,0.5216
494000,0.49,0.018,0.0,0.51994
495000,0.494,0.013,0.0,0.52429
496000,0.486,0.014,0.0,0.51613
497000,0.48,0.009,0.0,0.5092
498000,0.482,0.018,0.0,0.51134
499000,0.478,0.022,0.0,0.50744
