avg_score,avg_score_no,avg_diff,step_idx,avg_winning,loss_train
0.4472,0.0372,0.025,146400,0.41,0.005
0.43313,0.03813,0.025,146700,0.395,0.004
0.47265,0.03765,0.045,147000,0.435,0.001
0.46683,0.03683,0.04,147300,0.43,0.014
0.48162,0.03662,0.055,147600,0.445,0.038
0.45786,0.03786,0.03,147900,0.42,-0.021
0.5186,0.0386,0.025,148200,0.48,0.02
0.48906,0.03906,0.055,148500,0.45,0.047
0.48964,0.03964,0.04,148800,0.45,-0.041
0.47414,0.03914,0.02,149100,0.435,-0.004
0.46971,0.03971,0.035,149400,0.43,0.011
0.45797,0.03797,0.025,149700,0.42,-0.035
0.46734,0.03734,0.02,150000,0.43,-0.0
0.45755,0.03755,0.03,150300,0.42,0.002
0.469,0.039,0.03,150600,0.43,0.001
0.45016,0.04016,0.025,150900,0.41,0.026
0.49984,0.03984,0.04,151200,0.46,-0.027
0.48429,0.03929,0.015,151500,0.445,0.029
0.50669,0.04169,0.005,151800,0.465,-0.022
0.46107,0.04107,0.03,152100,0.42,-0.021
0.45468,0.03968,0.025,152400,0.415,-0.046
0.47979,0.03979,0.03,152700,0.44,0.006
0.47548,0.04048,0.025,153000,0.435,0.006
0.51547,0.04047,0.025,153300,0.475,-0.005
0.46985,0.03985,0.025,153600,0.43,0.0
0.44044,0.04044,0.03,153900,0.4,-0.033
0.49541,0.04041,0.03,154200,0.455,-0.023
0.49399,0.03899,0.03,154500,0.455,-0.025
0.46971,0.03971,0.045,154800,0.43,-0.005
0.50411,0.03911,0.04,155100,0.465,0.014
0.47456,0.03956,0.04,155400,0.435,0.037
0.4936,0.0386,0.035,155700,0.455,-0.066
0.50409,0.03909,0.035,156000,0.465,0.037
0.46029,0.04029,0.02,156300,0.42,-0.005
0.49035,0.04035,0.03,156600,0.45,-0.007
0.48992,0.03992,0.01,156900,0.45,0.008
0.51917,0.03917,0.005,157200,0.48,-0.003
0.49834,0.03834,0.0,157500,0.46,-0.008
0.48745,0.03745,0.035,157800,0.45,-0.06
0.49127,0.03627,0.02,158100,0.455,-0.004
0.53854,0.03854,0.025,158400,0.5,-0.003
0.53018,0.04018,0.015,158700,0.49,-0.016
0.48902,0.03902,0.0,159000,0.45,-0.002
0.50388,0.03888,0.02,159300,0.465,0.026
0.51456,0.03956,0.01,159600,0.475,-0.02
0.51527,0.04027,0.015,159900,0.475,-0.026
0.48942,0.03942,0.005,160200,0.45,-0.061
0.49893,0.03893,0.005,160500,0.46,-0.013
0.48994,0.03994,-0.01,160800,0.45,-0.056
0.49383,0.03883,0.005,161100,0.455,-0.007
0.48969,0.03969,0.01,161400,0.45,-0.009
0.4748,0.0398,0.0,161700,0.435,-0.017
