avg_score,loss_train,step_idx,avg_diff,avg_winning
0.60119,-0.005,466000,0.005,0.571
0.61264,-0.007,467000,0.012,0.583
0.61145,-0.004,468000,0.009,0.582
0.60622,-0.01,469000,0.009,0.575
0.62418,-0.004,470000,0.001,0.593
0.60279,-0.014,471000,0.011,0.572
0.60872,-0.005,472000,0.002,0.579
0.60691,-0.009,473000,0.022,0.575
0.58995,-0.013,474000,0.027,0.56
0.60205,-0.012,475000,0.028,0.571
0.60361,-0.017,476000,0.018,0.575
0.6047,-0.001,477000,0.02,0.576
0.60635,-0.017,478000,0.018,0.579
0.58936,-0.01,479000,0.027,0.561
0.59472,-0.005,480000,0.02,0.566
0.59122,-0.007,481000,0.012,0.563
0.5948,-0.013,482000,0.019,0.569
0.61985,-0.007,483000,0.022,0.592
0.61327,-0.012,484000,0.016,0.585
0.60091,0.002,485000,0.014,0.574
0.59969,-0.009,486000,0.002,0.572
0.60649,-0.015,487000,0.016,0.58
0.58502,-0.008,488000,0.017,0.557
0.60169,-0.008,489000,0.022,0.574
0.59223,-0.005,490000,0.013,0.564
0.61151,-0.006,491000,-0.004,0.585
0.5905,-0.004,492000,0.013,0.564
0.5959,-0.008,493000,0.022,0.568
0.59569,-0.008,494000,0.024,0.567
0.58677,0.0,495000,0.013,0.559
0.60341,-0.005,496000,0.015,0.575
0.60975,-0.007,497000,0.015,0.582
0.58912,-0.006,498000,0.032,0.561
0.57986,-0.011,499000,0.026,0.552
