avg_diff,avg_score,avg_winning,loss_train,step_idx,avg_score_no
0.015,0.51045,0.47,-0.004,118500,0.04045
0.01,0.48958,0.45,-0.022,118800,0.03958
0.005,0.49355,0.455,-0.001,119100,0.03855
0.01,0.49157,0.45,0.003,119400,0.04157
-0.005,0.49558,0.455,-0.016,119700,0.04058
0.015,0.49586,0.455,-0.009,120000,0.04086
0.015,0.42906,0.39,-0.041,120300,0.03906
0.02,0.45319,0.415,-0.014,120600,0.03819
0.02,0.48617,0.445,-0.025,120900,0.04117
0.02,0.47526,0.435,0.001,121200,0.04026
0.035,0.44527,0.405,0.028,121500,0.04027
0.025,0.44973,0.41,-0.035,121800,0.03973
0.055,0.47108,0.43,0.006,122100,0.04108
0.035,0.46473,0.425,0.001,122400,0.03973
0.03,0.51126,0.47,-0.018,122700,0.04126
0.025,0.4744,0.435,-0.023,123000,0.0394
0.035,0.45539,0.415,0.022,123300,0.04039
0.05,0.4604,0.42,-0.019,123600,0.0404
0.045,0.49685,0.455,-0.08,123900,0.04185
0.035,0.46172,0.42,-0.003,124200,0.04172
0.045,0.47669,0.435,-0.007,124500,0.04169
0.02,0.45681,0.415,-0.018,124800,0.04181
0.03,0.4364,0.395,-0.026,125100,0.0414
0.045,0.47054,0.43,-0.01,125400,0.04054
0.015,0.51068,0.47,-0.035,125700,0.04068
-0.005,0.49349,0.455,-0.023,126000,0.03849
0.03,0.49856,0.46,-0.032,126300,0.03856
0.05,0.4626,0.425,-0.024,126600,0.0376
0.03,0.49346,0.455,0.01,126900,0.03846
0.045,0.48857,0.45,-0.024,127200,0.03857
0.055,0.47879,0.44,-0.03,127500,0.03879
0.065,0.50444,0.465,0.017,127800,0.03944
0.045,0.48488,0.445,-0.012,128100,0.03988
0.06,0.47482,0.435,-0.008,128400,0.03982
0.07,0.4366,0.4,0.004,128700,0.0366
0.035,0.43847,0.405,-0.019,129000,0.03347
0.045,0.45764,0.42,-0.01,129300,0.03764
0.03,0.46304,0.425,-0.033,129600,0.03804
0.015,0.49411,0.455,-0.01,129900,0.03911
0.025,0.4791,0.44,-0.034,130200,0.0391
0.025,0.52936,0.49,0.001,130500,0.03936
0.03,0.52026,0.48,-0.037,130800,0.04026
0.005,0.49594,0.455,-0.024,131100,0.04094
0.03,0.50442,0.465,-0.026,131400,0.03942
0.015,0.49429,0.455,0.02,131700,0.03929
0.01,0.50641,0.465,0.01,132000,0.04141
0.025,0.49435,0.455,-0.037,132300,0.03935
0.01,0.47826,0.44,-0.049,132600,0.03826
0.015,0.45314,0.415,-0.009,132900,0.03814
0.015,0.45765,0.42,-0.032,133200,0.03765
0.015,0.45888,0.42,-0.028,133500,0.03888
0.0,0.46425,0.425,-0.028,133800,0.03925
0.025,0.46381,0.425,-0.013,134100,0.03881
0.035,0.44433,0.405,-0.01,134400,0.03933
0.01,0.43504,0.395,-0.009,134700,0.04004
0.0,0.45954,0.42,-0.065,135000,0.03954
0.01,0.45497,0.415,0.031,135300,0.03997
0.015,0.46841,0.43,-0.009,135600,0.03841
0.025,0.45882,0.42,-0.012,135900,0.03882
0.005,0.42873,0.39,-0.026,136200,0.03873
0.02,0.47973,0.44,0.002,136500,0.03973
0.005,0.4944,0.455,0.019,136800,0.0394
0.005,0.47913,0.44,-0.014,137100,0.03913
0.03,0.41887,0.38,-0.026,137400,0.03887
0.0,0.48838,0.45,-0.046,137700,0.03838
0.01,0.48379,0.445,-0.048,138000,0.03879
0.005,0.52048,0.48,-0.055,138300,0.04048
-0.005,0.49033,0.45,-0.037,138600,0.04033
0.03,0.48668,0.445,-0.015,138900,0.04168
0.02,0.51505,0.475,-0.011,139200,0.04005
0.015,0.50933,0.47,-0.054,139500,0.03933
0.025,0.5571,0.515,0.013,139800,0.0421
0.0,0.53128,0.49,0.016,140100,0.04128
0.025,0.55601,0.515,-0.064,140400,0.04101
0.005,0.55596,0.515,-0.067,140700,0.04096
0.02,0.52577,0.485,-0.022,141000,0.04077
0.015,0.48566,0.445,-0.032,141300,0.04066
-0.005,0.50519,0.465,-0.013,141600,0.04019
0.005,0.51439,0.475,0.006,141900,0.03939
0.0,0.52507,0.485,-0.027,142200,0.04007
0.0,0.51564,0.475,-0.015,142500,0.04064
0.01,0.53598,0.495,0.004,142800,0.04098
-0.01,0.51021,0.47,-0.02,143100,0.04021
0.0,0.52623,0.485,0.018,143400,0.04123
0.015,0.50117,0.46,-0.016,143700,0.04117
0.0,0.5469,0.505,0.015,144000,0.0419
0.005,0.52694,0.485,-0.002,144300,0.04194
0.015,0.49599,0.455,0.01,144600,0.04099
0.025,0.50249,0.46,-0.034,144900,0.04249
0.01,0.50277,0.46,-0.032,145200,0.04277
0.035,0.51568,0.475,0.008,145500,0.04068
0.03,0.49708,0.455,-0.008,145800,0.04208
0.02,0.5105,0.47,-0.025,146100,0.0405
0.04,0.49189,0.45,-0.025,146400,0.04189
0.035,0.49717,0.455,-0.018,146700,0.04217
0.04,0.51762,0.475,-0.007,147000,0.04262
0.025,0.51717,0.475,-0.003,147300,0.04217
0.02,0.52469,0.485,-0.043,147600,0.03969
0.03,0.55899,0.52,0.01,147900,0.03899
0.03,0.5303,0.49,-0.022,148200,0.0403
0.04,0.48445,0.445,-0.037,148500,0.03945
0.025,0.49876,0.46,-0.022,148800,0.03876
0.03,0.49407,0.455,-0.045,149100,0.03907
0.01,0.49483,0.455,-0.052,149400,0.03983
0.015,0.53018,0.49,-0.025,149700,0.04018
0.035,0.50006,0.46,0.009,150000,0.04006
0.005,0.48432,0.445,-0.023,150300,0.03932
0.015,0.48835,0.45,0.018,150600,0.03835
0.025,0.47827,0.44,-0.03,150900,0.03827
0.03,0.4794,0.44,-0.026,151200,0.0394
0.03,0.49543,0.455,-0.002,151500,0.04043
0.025,0.44404,0.405,-0.017,151800,0.03904
0.04,0.48337,0.445,-0.022,152100,0.03837
0.04,0.49335,0.455,-0.024,152400,0.03835
0.005,0.45055,0.415,-0.052,152700,0.03555
0.03,0.44631,0.41,-0.042,153000,0.03631
0.01,0.48603,0.45,-0.031,153300,0.03603
0.045,0.45453,0.415,-0.003,153600,0.03953
0.04,0.45413,0.415,-0.029,153900,0.03913
0.02,0.45337,0.415,-0.048,154200,0.03837
0.035,0.44729,0.41,-0.006,154500,0.03729
0.045,0.45371,0.415,-0.024,154800,0.03871
0.045,0.44385,0.405,0.007,155100,0.03885
0.03,0.45337,0.415,-0.033,155400,0.03837
0.03,0.46392,0.425,-0.017,155700,0.03892
0.025,0.45726,0.42,-0.037,156000,0.03726
0.01,0.47782,0.44,-0.037,156300,0.03782
0.025,0.45369,0.415,-0.04,156600,0.03869
0.02,0.48263,0.445,-0.004,156900,0.03763
0.025,0.47856,0.44,0.02,157200,0.03856
0.03,0.43874,0.4,-0.023,157500,0.03874
0.02,0.48952,0.45,-0.038,157800,0.03952
-0.005,0.46874,0.43,-0.009,158100,0.03874
0.015,0.50508,0.465,-0.047,158400,0.04008
0.01,0.48969,0.45,-0.022,158700,0.03969
0.01,0.48448,0.445,-0.026,159000,0.03948
0.02,0.51502,0.475,-0.024,159300,0.04002
0.01,0.49972,0.46,-0.037,159600,0.03972
0.045,0.46565,0.425,-0.011,159900,0.04065
0.025,0.47486,0.435,0.012,160200,0.03986
0.02,0.50111,0.46,-0.096,160500,0.04111
0.03,0.49467,0.455,0.023,160800,0.03967
0.04,0.44997,0.41,-0.041,161100,0.03997
0.055,0.44526,0.405,0.008,161400,0.04026
