avg_diff,avg_winning,loss_train,step_idx,avg_score
0.011,0.572,0.003,460000,0.60439
0.003,0.559,-0.009,461000,0.58906
0.009,0.576,0.002,462000,0.60757
0.007,0.555,-0.012,463000,0.58475
0.0,0.581,0.0,464000,0.61187
0.008,0.573,-0.012,465000,0.60446
0.013,0.551,-0.009,466000,0.58087
0.013,0.602,-0.001,467000,0.6357
0.007,0.561,-0.012,468000,0.59082
0.009,0.582,-0.001,469000,0.61467
0.004,0.574,-0.006,470000,0.6056
-0.008,0.586,-0.003,471000,0.61836
0.007,0.584,-0.019,472000,0.61655
0.001,0.57,-0.011,473000,0.60242
0.003,0.576,-0.015,474000,0.60883
0.004,0.561,-0.011,475000,0.5934
0.011,0.56,-0.001,476000,0.5908
0.001,0.563,-0.001,477000,0.59601
0.002,0.575,-0.008,478000,0.60798
0.016,0.556,-0.015,479000,0.58881
0.011,0.572,-0.005,480000,0.60449
0.005,0.562,-0.009,481000,0.59528
0.005,0.546,-0.007,482000,0.57812
0.023,0.527,-0.014,483000,0.55853
0.004,0.553,-0.011,484000,0.58468
0.02,0.557,-0.008,485000,0.5892
0.017,0.517,-0.012,486000,0.54719
0.016,0.548,-0.002,487000,0.57978
0.011,0.547,-0.009,488000,0.57943
0.012,0.533,-0.011,489000,0.56479
0.01,0.538,-0.006,490000,0.56995
0.012,0.559,-0.0,491000,0.59154
0.011,0.546,-0.01,492000,0.57672
0.007,0.549,-0.004,493000,0.58092
0.019,0.54,-0.003,494000,0.57116
0.011,0.547,-0.004,495000,0.57915
0.023,0.56,-0.002,496000,0.59257
0.021,0.558,-0.002,497000,0.58991
0.024,0.545,0.005,498000,0.57442
-0.004,0.562,-0.004,499000,0.59407
