avg_winning,step_idx,avg_diff,avg_score,loss_train
0.523,444000,0.033,0.54872,0.008
0.519,445000,0.034,0.5478,0.014
0.551,446000,0.039,0.57197,-0.006
0.52,447000,0.037,0.54719,0.004
0.504,448000,0.038,0.53276,0.002
0.517,449000,0.039,0.54622,-0.0
0.526,450000,0.028,0.55659,-0.016
0.546,451000,0.032,0.57554,-0.016
0.532,452000,0.033,0.5617,0.015
0.527,453000,0.035,0.55821,-0.007
0.523,454000,0.034,0.55372,0.006
0.518,455000,0.027,0.54939,-0.009
0.543,456000,0.028,0.57677,0.001
0.533,457000,0.017,0.56649,-0.005
0.504,458000,0.04,0.53417,-0.005
0.537,459000,0.024,0.57,-0.0
0.514,460000,0.023,0.54662,-0.014
0.539,461000,0.017,0.57254,-0.01
0.526,462000,0.022,0.55997,-0.009
0.521,463000,0.013,0.55403,-0.012
0.504,464000,0.03,0.53329,-0.003
0.523,465000,0.029,0.55234,-0.012
0.51,466000,0.026,0.54153,0.002
0.534,467000,0.027,0.56689,-0.002
0.524,468000,0.019,0.55595,-0.007
0.505,469000,0.023,0.53416,-0.008
0.486,470000,0.037,0.51165,0.001
0.484,471000,0.025,0.51383,0.012
0.516,472000,0.025,0.54567,-0.005
0.495,473000,0.033,0.52144,-0.0
0.506,474000,0.024,0.53502,0.003
0.501,475000,0.031,0.52632,0.002
0.517,476000,0.029,0.54471,-0.001
0.505,477000,0.029,0.53028,0.007
0.514,478000,0.027,0.54391,0.003
0.531,479000,0.036,0.55542,0.006
0.541,480000,0.032,0.567,0.007
0.519,481000,0.036,0.54444,-0.01
0.527,482000,0.029,0.55546,0.006
0.518,483000,0.019,0.5491,0.008
0.533,484000,0.026,0.56356,-0.012
0.532,485000,0.025,0.5627,0.007
0.493,486000,0.029,0.52041,-0.002
0.515,487000,0.041,0.54192,-0.004
0.523,488000,0.023,0.55314,-0.001
0.517,489000,0.024,0.55015,-0.004
0.516,490000,0.024,0.54806,-0.007
0.503,491000,0.034,0.53413,-0.011
0.53,492000,0.026,0.56004,0.003
0.532,493000,0.028,0.5622,-0.005
0.523,494000,0.031,0.55485,0.005
0.527,495000,0.019,0.56048,-0.009
0.536,496000,0.024,0.56939,-0.002
0.543,497000,0.018,0.57524,-0.004
0.527,498000,0.027,0.56081,0.007
0.538,499000,0.033,0.56683,-0.004
